Initial energy [keV];Mean final energy [eV];Mean final energy [keV];Error on mean final energy [eV];Error on mean final energy [keV];Relative error on mean final energy [keV];Mean energy loss [keV];Error on mean energy loss [keV];Number of ions transmitted [%]
1;0;0,00;0;0,00;0,0000;1,00;0,0;0,00%
10;0;0,00;0;0,00;0,0000;10,0;0,0;0,00%
20;0;0,0;0;0,0;0,0000;20,0;0,0;0,00%
30;0;0,0;0;0,0;0,0000;30,0;0,0;0,00%
40;0;0,0;0;0,0;0,0000;40,0;0,0;0,00%
50;1154;1,2;700;0,7;0,6065;48,8;29,6;4,31%
60;3189;3,2;1464;1,5;0,4590;56,8;26,1;32,32%
70;8463;8,5;2352;2,4;0,2779;61,5;17,1;81,38%
80;10383;10,4;2703;2,7;0,2603;69,6;18,1;79,06%
90;17967;18,0;2974;3,0;0,1655;72,0;11,9;94,89%
100;20062;20,1;3187;3,2;0,1589;79,9;12,7;93,49%
120;31152;31,2;3429;3,4;0,1101;88,8;9,8;99,00%
140;42996;43,0;3765;3,8;0,0876;97,0;8,5;99,00%
160;55382;55,4;3649;3,6;0,0659;104,6;6,9;99,10%
180;68465;68,5;3583;3,6;0,0523;111,5;5,8;99,30%
200;82220;82,2;2979;3,0;0,0362;117,8;4,3;100,00%
225;99901;99,9;3897;3,9;0,0390;125,1;4,9;100,00%
250;118018;118,0;5012;5,0;0,0425;132,0;5,6;100,00%
