============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(60 keV) ==> Aluminum+Polypropylene (( 5750 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B   41  2 ,5720718E+04 -  8596910E-07  ,9482E+03  ,5579E+02  -,9908643 -,1195001  ,0625113
B 1039  2 ,2841529E+05 -  3085923E-07  ,9589E+02  ,3128E+02  -,9336156  ,3353924  ,1259914
B 1549  2 ,1353581E+05 -  8340673E-07  ,3021E+03  ,1774E+04  -,3733890  ,0065909  ,9276515
B 1575  2 ,4783255E+04 -  2161876E-06 -,3603E+03  ,1714E+04  -,9127535  ,2704894  ,3061317
B 2047  2 ,3219570E+04 -  6559971E-07  ,3194E+04 -,1413E+02  -,5870360 -,0709358 -,8064471
B 2650  2 ,1363000E+05 -  4270305E-07 -,2490E+03  ,1228E+04  -,7034545 -,1415486  ,6965025
B 2794  2 ,9255946E+04 -  1880718E-06 -,9914E+03  ,1522E+04  -,7969294 -,1329493  ,5892606
B 3654  2 ,2978473E+05 -  1647966E-06  ,1341E+02 -,1269E+03  -,8335702  ,0179226 -,5521227
B 4287  2 ,1419700E+05 -  1431501E-07  ,2331E+03  ,2017E+04  -,3312005 -,1445936  ,9324156
B 4409  2 ,3834128E+04 -  5006474E-07 -,2484E+04 -,4630E+03  -,9977696  ,0308295 -,0592069
B 4721  2 ,3629096E+04 -  1902530E-06 -,1542E+04 -,2886E+04  -,8069210 -,2523804 -,5340249
B 5184  2 ,5845449E+04 -  1250802E-06 -,9979E+03 -,2917E+04  -,5735399 -,7869470  ,2275225
B 6263  2 ,2534741E+04 -  2334215E-07 -,2556E+04  ,1987E+04  -,3730232  ,4771292 -,7957395
B 6886  2 ,1053615E+05 -  1619498E-06 -,1451E+04  ,5335E+03  -,8155303 -,4571232  ,3548927
B 7506  2 ,3344527E+04 -  1260706E-06  ,2097E+04  ,2901E+04  -,8676240  ,3712704 -,3307370
B 8517  2 ,2709881E+05 -  3135992E-07 -,6525E+02 -,3310E+03  -,3644564  ,5455616 -,7546748
B 9547  2 ,2418948E+05 -  4098409E-07 -,1981E+03 -,4262E+03  -,4541329 -,3291958 -,8278849
B 9743  2 ,2176851E+05 -  1692339E-07  ,8192E+03  ,1318E+04  -,2331349  ,2727079  ,9334230
B 9807  2 ,3152055E+05 -  1796902E-07  ,5407E+03  ,1066E+03  -,3118248  ,9470092  ,0770644
