============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(200 keV) ==> Aluminum+Polypropylene (( 5750 A) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,8391981E+05   5751484E-03  ,2443E+03 -,4291E+02   ,9639053  ,2661042  ,0086621
T    2  2 ,8391752E+05   5750742E-03 -,1275E+02 -,1634E+03   ,9974377 -,0061573 -,0712755
T    3  2 ,8327074E+05   5750255E-03 -,2300E+03 -,4495E+02   ,9882959  ,0544793 -,1424893
T    4  2 ,8286076E+05   5752476E-03  ,1330E+03  ,2696E+03   ,8800279 -,0871872  ,4668504
T    5  2 ,8103993E+05   5751302E-03 -,5605E+02 -,7855E+03   ,6929797 -,2982656 -,6563663
T    6  2 ,8172734E+05   5750805E-03  ,7306E+02 -,8142E+02   ,9737150  ,2274911 -,0112649
T    7  2 ,8499318E+05   5752494E-03  ,8559E+02  ,4618E+03   ,9907224 -,0542911  ,1245861
T    8  2 ,8211896E+05   5750780E-03  ,4575E+03 -,5074E+03   ,9545475  ,0484451 -,2940956
T    9  2 ,8371746E+05   5750399E-03 -,1604E+03 -,1433E+03   ,9759049 -,2010037 -,0848952
T   10  2 ,8241821E+05   5752777E-03 -,1218E+03 -,2761E+02   ,9971506 -,0748991 -,0089897
T   11  2 ,8003022E+05   5750253E-03 -,3011E+02 -,7137E+02   ,9976451 -,0452006 -,0515871
T   12  2 ,8297106E+05   5750057E-03  ,1350E+03  ,5485E+01   ,9810430  ,1917460 -,0280742
T   13  2 ,8283688E+05   5750537E-03  ,1454E+01 -,1221E+03   ,9967743  ,0294553  ,0746544
T   14  2 ,8583721E+05   5750700E-03  ,5154E+03  ,1423E+03   ,9950013  ,0584654  ,0809580
T   15  2 ,8192751E+05   5751268E-03  ,1592E+03  ,1021E+03   ,9942668 -,0121015  ,1062406
T   16  2 ,8323808E+05   5751191E-03 -,6363E+03 -,1815E+03   ,9991558  ,0304700  ,0275554
T   17  2 ,8204191E+05   5752318E-03 -,5154E+02  ,1945E+03   ,9962458 -,0175557  ,0847705
T   18  2 ,8363075E+05   5751699E-03  ,5227E+02  ,9399E+02   ,9858260  ,1188849  ,1183785
T   19  2 ,8096668E+05   5751508E-03  ,1696E+03 -,2563E+03   ,9246207  ,0762495 -,3731789
T   20  2 ,8447301E+05   5752837E-03  ,1010E+03 -,4603E+03   ,9874674 -,0133408 -,1572581
T   21  2 ,8352381E+05   5752295E-03  ,1211E+03 -,5253E+01   ,9855564 -,0922829  ,1419945
T   22  2 ,8335053E+05   5751031E-03 -,2483E+03  ,5183E+02   ,9910016 -,0577716  ,1207405
T   23  2 ,8676726E+05   5752214E-03 -,4097E+02 -,1965E+03   ,9958098  ,0426622 -,0808873
T   24  2 ,8559094E+05   5751902E-03 -,1345E+03 -,2117E+03   ,9872635 -,1134942 -,1114895
T   25  2 ,8289160E+05   5750920E-03  ,2239E+03 -,6535E+00   ,9065153  ,0900406 -,4124593
T   26  2 ,8381263E+05   5751523E-03 -,3373E+03  ,3718E+03   ,9738093 -,2273629 -,0012472
T   27  2 ,8496533E+05   5750660E-03 -,3067E+03  ,9412E+01   ,9757980 -,0594687  ,2104320
T   28  2 ,8130711E+05   5752583E-03 -,3814E+03  ,3360E+01   ,9858150 -,1025690 -,1328473
T   29  2 ,8549341E+05   5751952E-03 -,3291E+03 -,7522E+02   ,9332111  ,2141660 -,2885308
T   30  2 ,8145413E+05   5752934E-03 -,8639E+02 -,1835E+03   ,9893324 -,1406139 -,0380663
