============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(20 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,3769858E+04   2000009E-03  ,2096E+03 -,3442E+02   ,6898622 -,5110363 -,5127690
T    3  2 ,5608680E+04   2001682E-03  ,2756E+02 -,1904E+03   ,9990871 -,0305243  ,0298874
T    6  2 ,3890724E+04   2001437E-03  ,6363E+03 -,6975E+02   ,7003147  ,5323334 -,4755843
T    7  2 ,4362230E+04   2001314E-03  ,6074E+03 -,4367E+03   ,8999319  ,0855685 -,4275519
T    8  2 ,4355631E+04   2000206E-03  ,4322E+03 -,9439E+03   ,7421930 -,1091660 -,6612354
T    9  2 ,5248325E+04   2001017E-03 -,5958E+03 -,2034E+02   ,9054326 -,3620284 -,2216469
T   11  2 ,5276376E+04   2000012E-03 -,8113E+02 -,2951E+01   ,8782636 -,3174002  ,3576452
T   12  2 ,4070113E+04   2001313E-03  ,6505E+03 -,1670E+03   ,8363902  ,2992983 -,4592081
T   14  2 ,5316476E+04   2001269E-03 -,3600E+03  ,5496E+02   ,9548003 -,2513633 -,1586596
T   16  2 ,5131659E+04   2000422E-03 -,2675E+03  ,6016E+02   ,9895008 -,1198080 -,0808343
T   17  2 ,4093816E+04   2001345E-03 -,1934E+03 -,3315E+03   ,8057972 -,5705624 -,1585857
T   18  2 ,4964132E+04   2001307E-03  ,3598E+03  ,5219E+00   ,9334348  ,3452123 -,0976113
T   21  2 ,3373679E+04   2001081E-03 -,1979E+03  ,6599E+03   ,5659080 -,1880539  ,8027352
T   22  2 ,3795765E+04   2000071E-03  ,3210E+03  ,4670E+02   ,3056689  ,8998721  ,3111216
T   24  2 ,5619867E+04   2001202E-03 -,2459E+03  ,1955E+03   ,9511775  ,0061675  ,3085828
T   25  2 ,5437637E+04   2000532E-03 -,1419E+03  ,3327E+03   ,7430284 -,3313714  ,5814652
T   27  2 ,5447809E+04   2000501E-03  ,1208E+03 -,8356E+02   ,9177380  ,2366562  ,3189841
T   31  2 ,5201119E+04   2000484E-03 -,1954E+03 -,1152E+03   ,8738820 -,3819627  ,3007237
T   34  2 ,5320756E+04   2001015E-03 -,1035E+03  ,3839E+03   ,8390246 -,3542553  ,4129659
T   35  2 ,6272808E+04   2000207E-03 -,3877E+03 -,1327E+03   ,9124879 -,4073612 -,0377175
T   36  2 ,4442871E+04   2001896E-03  ,3082E+03  ,1137E+02   ,9206828  ,3812513  ,0836100
T   37  2 ,4562062E+04   2000761E-03  ,5484E+03 -,5391E+03   ,8263166  ,0739407 -,5583311
T   38  2 ,5413046E+04   2000060E-03 -,3531E+02  ,2040E+02   ,9046769  ,0159759 -,4257986
T   39  2 ,5263013E+04   2000267E-03  ,7394E+02 -,1042E+03   ,9360514  ,3472408  ,0568479
T   40  2 ,2637512E+04   2002027E-03 -,2511E+03 -,1086E+04   ,9728351  ,2143781 -,0873724
T   41  2 ,3099371E+04   2000706E-03 -,1163E+04 -,3453E+03   ,8331433 -,5017112 -,2327191
T   42  2 ,5557247E+04   2000931E-03 -,1532E+02  ,1082E+03   ,9835900 -,1412816  ,1122063
T   43  2 ,2908429E+04   2000160E-03  ,1136E+04 -,5372E+03   ,5356875  ,7215422 -,4386522
T   45  2 ,4839256E+04   2001762E-03  ,4955E+03 -,1918E+03   ,8062426  ,5810407  ,1111963
T   46  2 ,5841419E+04   2000492E-03  ,1212E+02 -,4147E+02   ,9950611  ,0890585 -,0438412
T   47  2 ,5247367E+04   2000275E-03 -,1687E+03 -,3440E+03   ,8548744 -,2139105 -,4726860
T   48  2 ,9013328E+03   2001303E-03 -,1432E+03  ,9274E+03   ,9050427  ,2949394  ,3064450
T   49  2 ,4589899E+04   2000330E-03 -,3065E+03 -,1675E+03   ,7988843 -,5889498 -,1221553
T   52  2 ,5697094E+04   2000013E-03  ,1453E+03 -,4474E+03   ,9861860  ,1649562  ,0150524
T   53  2 ,4899866E+04   2000004E-03 -,1965E+03  ,2394E+03   ,9805957 -,1319409 -,1449951
T   56  2 ,7151036E+03   2000461E-03 -,6645E+03 -,1016E+04   ,2425110 -,3375160  ,9095446
T   58  2 ,5983305E+04   2001311E-03  ,2627E+03  ,2480E+03   ,9380642 -,0252115  ,3455431
