============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(10 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B   38  2 ,2140453E+04 -  9997432E-07  ,8458E+02  ,3316E+02  -,7822919 -,5988877 -,1713271
B   65  2 ,6707829E+04 -  2483853E-08  ,1410E+02  ,1382E+02  -,2499309  ,6758810  ,6933394
B   72  2 ,1928974E+04 -  1705721E-06 -,8458E+03 -,3269E+03  -,7916513 -,5707983 -,2178935
B  101  2 ,5492681E+04 -  4002298E-07  ,1807E+02  ,3759E+03  -,5158154  ,2109375  ,8303251
B  116  2 ,1542509E+04 -  2147256E-07  ,3598E+03  ,2551E+03  -,5397466  ,5925686  ,5979432
B  121  2 ,4147244E+04 -  6654884E-08 -,3305E+02  ,1549E+03  -,7822440  ,1326359  ,6086888
B  128  2 ,2253233E+04 -  4677524E-07 -,3273E+02 -,5184E+03  -,3221315  ,6369932 -,7003364
B  175  2 ,4362291E+04 -  9587720E-07  ,2239E+03  ,1672E+03  -,5539689  ,4688091  ,6879946
B  194  2 ,2087497E+04 -  1003379E-06  ,2223E+03  ,2393E+03  -,7243871  ,2938026  ,6236533
B  206  2 ,5116152E+04 -  6720822E-07 -,1890E+02  ,6163E+01  -,9459215 -,2841962 -,1564129
B  281  2 ,2529951E+04 -  1108719E-06 -,2633E+03  ,5927E+03  -,7961705  ,5312796  ,2895766
B  312  2 ,2387524E+04 -  9782886E-07  ,1444E+03  ,4287E+03  -,3839361  ,9194505  ,0848749
B  376  2 ,2791998E+04 -  9900332E-07 -,1175E+03 -,2678E+02  -,9219193  ,2516207 -,2945365
B  399  2 ,2692141E+04 -  4778875E-07 -,3079E+03  ,1600E+03  -,7663011 -,6363974  ,0882101
B  413  2 ,2866496E+04 -  4799781E-07  ,5009E+03  ,7817E+03  -,6901234  ,1003369  ,7167023
B  424  2 ,5378130E+04 -  2082727E-06  ,1021E+02 -,7926E+01  -,9179367  ,3186961 -,2362734
B  435  2 ,3539026E+04 -  1798391E-06  ,4029E+02 -,4565E+01  -,9578658  ,0706775 -,2783843
B  473  2 ,5248382E+04 -  4100132E-07 -,1134E+03 -,9242E+02  -,4974344 -,6818775 -,5362855
B  486  2 ,1100984E+04 -  5280153E-07  ,6803E+03  ,4234E+03  -,8949627 -,4175751  ,1570757
B  506  2 ,1010082E+04 -  7955701E-07  ,6694E+03 -,4381E+03  -,8903766  ,4552198  ,0020919
B  529  2 ,4445152E+04 -  6380832E-07  ,2575E+03 -,3375E+03  -,5802727  ,4010203 -,7088486
B  533  2 ,6059082E+04 -  6918166E-07 -,7978E+02  ,7401E+02  -,4311588 -,6438074  ,6321504
B  597  2 ,8190286E+03 -  1359250E-06  ,6396E+03  ,2939E+03  -,7925385  ,1739742 -,5844790
B  607  2 ,7781752E+03 -  7772338E-07 -,2454E+03  ,6948E+03  -,7440880 -,0196136  ,6677937
B  657  2 ,3618992E+04 -  1017589E-07 -,2876E+03  ,2914E+02  -,5576684 -,7786537  ,2875837
B  713  2 ,2744018E+04 -  2039997E-06 -,2690E+02 -,1791E+02  -,9030626  ,1077019  ,4157862
B  768  2 ,3476491E+04 -  7915277E-08  ,1112E+03 -,3264E+03  -,0903360 -,0650373 -,9937855
B  778  2 ,1421642E+04 -  2747629E-07 -,3126E+03  ,5853E+03  -,8229780 -,5069372 -,2563629
B  817  2 ,5814175E+04 -  1086685E-07  ,3364E+01  ,1848E+02  -,7365132  ,1272761  ,6643411
B  822  2 ,2625299E+04 -  2296430E-07 -,4133E+03  ,4871E+03  -,5630575 -,7035813 -,4335201
B  830  2 ,9755954E+03 -  6983073E-07  ,6645E+03 -,8867E+03  -,8089796  ,4807237  ,3383147
B  911  2 ,1339223E+04 -  6049782E-07 -,7716E+03  ,3563E+02  -,5055067 -,2701333 -,8194455
B  935  2 ,4078022E+04 -  6941098E-07  ,3070E+02 -,4643E+03  -,8077869 -,0865692 -,5830832
B  948  2 ,2920245E+04 -  1005245E-06  ,1668E+03  ,6711E+03  -,5981037  ,2397330  ,7647222
B  990  2 ,5039203E+04 -  1175310E-06  ,2832E+02  ,5279E+02  -,6221479  ,1675395  ,7647630
