============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(120 keV) ==> Layer 1+Kapton Polyimide( 2000 A) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,8448428E+05   2001982E-03  ,4894E+02  ,6879E+01   ,9970126 -,0739260  ,0223778
T    2  2 ,8371724E+05   2000783E-03  ,7010E+02  ,4509E+02   ,9852830  ,1597322  ,0608522
T    3  2 ,8219584E+05   2001074E-03 -,2898E+02  ,1181E+03   ,9949620 -,0243074  ,0972610
T    4  2 ,8221311E+05   2001455E-03 -,6556E+01  ,8362E+02   ,9987845 -,0395974  ,0293510
T    5  2 ,8218191E+05   2001198E-03  ,1016E+03 -,5935E+02   ,9965971  ,0771904 -,0289112
T    6  2 ,8365969E+05   2000647E-03  ,1835E+02 -,3471E+02   ,9992310 -,0010800 -,0391952
T    7  2 ,8414681E+05   2002076E-03  ,1088E+03  ,2799E+02   ,9965578  ,0792368  ,0243751
T    8  2 ,8318668E+05   2001012E-03 -,1691E+02 -,9499E+01   ,9997361 -,0229694 -,0004517
T    9  2 ,8269710E+05   2002214E-03  ,2624E+02 -,2262E+02   ,9934542 -,0330912 -,1093328
T   10  2 ,8475508E+05   2002104E-03 -,1173E+03 -,1985E+02   ,9968556 -,0791774  ,0031254
T   11  2 ,8310913E+05   2000480E-03 -,3625E+02  ,1356E+02   ,9994088 -,0332511 -,0087447
T   12  2 ,8327453E+05   2002030E-03  ,2260E+02  ,2922E+02   ,9963246  ,0397424  ,0758801
T   13  2 ,8233054E+05   2001213E-03 -,2515E+03  ,1680E+03   ,9798110 -,1687711  ,1071760
T   14  2 ,8233959E+05   2001649E-03 -,2594E+02 -,6597E+02   ,9962285 -,0791658 -,0355179
T   15  2 ,8338918E+05   2000327E-03  ,6388E+02 -,5784E+02   ,9968293  ,0613556 -,0506648
T   16  2 ,8524804E+05   2001628E-03  ,1069E+03 -,1140E+03   ,9976443  ,0269999 -,0630625
T   17  2 ,8362541E+05   2000899E-03  ,2430E+03  ,1043E+02   ,9916250  ,1288971  ,0080879
T   18  2 ,8299704E+05   2001503E-03 -,4931E+01  ,4589E+02   ,9980819 -,0449264  ,0425936
T   19  2 ,8323254E+05   2001761E-03  ,2496E+03  ,8217E+02   ,9840138  ,1712884  ,0487565
T   20  2 ,8032958E+05   2000946E-03  ,1118E+03  ,1989E+03   ,9945798  ,0749169  ,0721007
T   21  2 ,8209430E+05   2000417E-03 -,2259E+03  ,1040E+03   ,9892197 -,1195164  ,0846184
T   22  2 ,8377125E+05   2000979E-03 -,3372E+01 -,1916E+02   ,9993576 -,0235615 -,0270035
T   23  2 ,8260693E+05   2000371E-03  ,2302E+02 -,2641E+02   ,9991901  ,0355879  ,0187795
T   24  2 ,8279949E+05   2000108E-03 -,1335E+03  ,3786E+02   ,9932417 -,1107209  ,0348120
T   25  2 ,8350573E+05   2000912E-03  ,7132E+02 -,3464E+02   ,9970331  ,0724639 -,0259618
T   26  2 ,8358732E+05   2000153E-03 -,6705E+01  ,3924E+02   ,9965888  ,0709679 -,0421226
T   27  2 ,8179097E+05   2000874E-03  ,4558E+02  ,1371E+03   ,9768365 -,0241218  ,2126229
T   28  2 ,8172609E+05   2000337E-03  ,3809E+02 -,2942E+02   ,9996447  ,0217315 -,0154367
T   29  2 ,8386802E+05   2000621E-03 -,5495E+02 -,6977E+02   ,9951080 -,0409248 -,0899175
T   30  2 ,8362908E+05   2000989E-03 -,8686E+01 -,7998E+02   ,9979385  ,0256442 -,0588316
T   31  2 ,8089473E+05   2000675E-03  ,6928E+02 -,1413E+02   ,9814317  ,1553599  ,1124949
T   32  2 ,8277200E+05   2000332E-03  ,4204E+02 -,9714E+02   ,9855078 -,1213991 -,1184765
T   33  2 ,8196675E+05   2001969E-03 -,1885E+02 -,1675E+03   ,9951855  ,0072394 -,0977411
T   34  2 ,8248296E+05   2000682E-03  ,9594E+02 -,1082E+03   ,9872309  ,1159679 -,1092091
T   35  2 ,8358464E+05   2001622E-03  ,5327E+02  ,5924E+01   ,9966536  ,0644049  ,0503353
T   36  2 ,8193708E+05   2000033E-03  ,1404E+03 -,5693E+00   ,9973311  ,0705406  ,0188341
T   37  2 ,8542403E+05   2000687E-03  ,4567E+01  ,1488E+02   ,9988797  ,0368616  ,0296753
T   38  2 ,8264395E+05   2001187E-03 -,4487E+00  ,4307E+01   ,9999226 -,0121915  ,0024761
T   39  2 ,8090047E+05   2000955E-03 -,6808E+02  ,7444E+02   ,9959153 -,0740876  ,0516107
T   40  2 ,8438504E+05   2000791E-03  ,2322E+02  ,1935E+02   ,9996845  ,0106476  ,0227500
T   41  2 ,8345959E+05   2001537E-03  ,4850E+02 -,4879E+02   ,9986709 -,0259603 -,0445259
T   42  2 ,8567053E+05   2000969E-03 -,1875E+02  ,9451E+02   ,9979083 -,0124086  ,0634439
T   43  2 ,8295888E+05   2001919E-03  ,2138E+02 -,4479E+02   ,9993403  ,0287435  ,0221978
T   44  2 ,8300223E+05   2001041E-03  ,7790E+02 -,4778E+02   ,9912720  ,1268061 -,0360546
T   45  2 ,8453617E+05   2000600E-03 -,1262E+02 -,2518E+02   ,9985663 -,0187324 -,0501439
T   46  2 ,8242286E+05   2000151E-03  ,4015E+02 -,2225E+02   ,9981716  ,0434296 -,0420405
T   47  2 ,8200221E+05   2000147E-03 -,6741E+02  ,1529E+03   ,9984021 -,0420849  ,0377106
T   48  2 ,8271032E+05   2002161E-03 -,1942E+03  ,1021E+03   ,9969207 -,0682906  ,0385420
T   49  2 ,8261890E+05   2000745E-03  ,2288E+02  ,1315E+03   ,9988902  ,0017099  ,0470683
T   50  2 ,8207628E+05   2000081E-03 -,3238E+01  ,1024E+03   ,9950083 -,0160740  ,0984886
T   51  2 ,8164823E+05   2000477E-03 -,1080E+02 -,1174E+03   ,9959140 -,0422332 -,0798230
T   52  2 ,8308280E+05   2000262E-03 -,3763E+01 -,3749E+02   ,9978409  ,0294232 -,0587175
T   53  2 ,8245416E+05   2000032E-03  ,5550E+00  ,1389E+03   ,9963926 -,0153717  ,0834593
T   54  2 ,8287360E+05   2001125E-03  ,4974E+01 -,1003E+02   ,9996285  ,0034570 -,0270359
T   55  2 ,8342225E+05   2000156E-03 -,5234E+02 -,1146E+02   ,9999003  ,0065118 -,0125292
T   56  2 ,8283102E+05   2001107E-03 -,2925E+02  ,5991E+02   ,9938844  ,0648693  ,0893631
T   57  2 ,8334955E+05   2000772E-03  ,3696E+02  ,4407E+00   ,9997273  ,0169976  ,0160109
T   58  2 ,8303764E+05   2000729E-03  ,4654E+02  ,8461E+02   ,9989347  ,0012052  ,0461296
T   59  2 ,8309159E+05   2001835E-03  ,1104E+03  ,7545E+02   ,9975909  ,0209542  ,0661309
T   60  2 ,8357136E+05   2001640E-03  ,3784E+02  ,5451E+02   ,9943600  ,0826156  ,0665052
T   61  2 ,8232562E+05   2000929E-03  ,7690E+02 -,1534E+02   ,9986656  ,0448383  ,0256218
T   62  2 ,8378742E+05   2000726E-03 -,6397E+02 -,8901E+01   ,9922779 -,1024701 -,0698892
T   63  2 ,8442538E+05   2001100E-03 -,6546E+01 -,3140E+01   ,9996813 -,0063154 -,0244440
T   64  2 ,8257715E+05   2001943E-03  ,7174E+02  ,2016E+03   ,9908607  ,0257019  ,1324179
T   65  2 ,8177575E+05   2000894E-03 -,8143E+02 -,3489E+02   ,9973634 -,0454537 -,0565700
T   66  2 ,8447565E+05   2000773E-03 -,1335E+01 -,4951E+01   ,9985508  ,0423867 -,0331598
T   67  2 ,8301114E+05   2000933E-03  ,2845E+00 -,8102E+00   ,9999936 -,0002761 -,0035635
T   68  2 ,8099273E+05   2000647E-03 -,1351E+03  ,1664E+03   ,9957205 -,0811734  ,0441774
T   69  2 ,8263888E+05   2000305E-03  ,9094E+02 -,8243E+01   ,9969446  ,0778341 -,0065830
T   70  2 ,8369691E+05   2000226E-03  ,1623E+02  ,4333E+02   ,9985095 -,0354985  ,0414571
T   71  2 ,8490112E+05   2001809E-03  ,4403E+01 -,6435E+02   ,9995545  ,0153840 -,0255775
T   72  2 ,8436760E+05   2001439E-03  ,7725E+02  ,2536E+02   ,9989735  ,0423753  ,0160075
T   73  2 ,8375932E+05   2000535E-03 -,2097E+02  ,3201E+02   ,9999591 -,0058703 -,0068833
T   74  2 ,8179853E+05   2001347E-03 -,8902E+02  ,1409E+03   ,9850804 -,0814371  ,1516066
T   75  2 ,8326371E+05   2001289E-03 -,8285E+02 -,4958E+02   ,9958424 -,0900313 -,0138652
T   76  2 ,8245865E+05   2001883E-03  ,1349E+03 -,1135E+02   ,9972207  ,0744854  ,0016965
T   77  2 ,8180604E+05   2001225E-03  ,6721E+02  ,5371E+02   ,9990089  ,0328692  ,0300148
T   78  2 ,8323821E+05   2001102E-03  ,7120E+02  ,1494E+02   ,9835878  ,1724607 -,0530320
T   79  2 ,8469988E+05   2000568E-03  ,5150E+02  ,2933E+03   ,9754935  ,0235884  ,2187603
T   80  2 ,8262732E+05   2000992E-03 -,3338E+02 -,4149E+02   ,9983752 -,0427207 -,0377092
T   81  2 ,8404071E+05   2000805E-03 -,1121E+03 -,1466E+03   ,9933214 -,0883330 -,0742280
T   82  2 ,8496612E+05   2001418E-03 -,1378E+03  ,3525E+02   ,9928006 -,0722064  ,0955678
T   83  2 ,8447730E+05   2000727E-03 -,3582E+02 -,6215E+01   ,9992549 -,0326570 -,0205688
T   84  2 ,8307227E+05   2001577E-03  ,1208E+03  ,1385E+03   ,9908903  ,0668742  ,1168938
T   85  2 ,8162554E+05   2002007E-03  ,3947E+02  ,5133E+02   ,9993302  ,0364719  ,0029884
T   86  2 ,8069648E+05   2000864E-03 -,7325E+02  ,3191E+02   ,9974819 -,0322923  ,0631438
T   87  2 ,8207828E+05   2000078E-03  ,8282E+02  ,1066E+03   ,9902318  ,0800604  ,1141550
T   88  2 ,8564745E+05   2001934E-03 -,6364E+02  ,8607E+01   ,9976140 -,0670778  ,0163346
T   89  2 ,8378151E+05   2000687E-03 -,1208E+03  ,1081E+03   ,9895196 -,1297341  ,0634030
T   90  2 ,8175268E+05   2000647E-03  ,1521E+02  ,1808E+02   ,9992636  ,0146213  ,0354745
T   91  2 ,8343764E+05   2001772E-03  ,1499E+02  ,6159E+02   ,9990892  ,0143810  ,0401746
T   92  2 ,8422622E+05   2001870E-03  ,1041E+03  ,5806E+02   ,9977566  ,0632073  ,0220602
T   93  2 ,8254800E+05   2002184E-03  ,1734E+03 -,8711E+02   ,9933400  ,1115901 -,0286930
T   94  2 ,8334933E+05   2002029E-03  ,5961E+02 -,2844E+02   ,9993316  ,0353243 -,0094085
