============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
 =====================================================================
                       SPUTTERING   CALCULATION                       
 =====================================================================
    >> Review plot of SPUTTERING YIELD vs. Surface Binding Energy <<  
    >> for how yield changes with SBE (last plot of Menu of Plots)<<  
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number                                           =
 =              Sputtered atom type (atomic name) and energy (eV)    =
 =                 (Note: SBE is NOT subtracted from atom energy)    =
 =              Point of ejection relative to ion entrance point.    =
 =              Trajectional cosines of ejected atom.                =
 =                  Cosine (X) is negative indicating motion away    =
 =                     from the target surface.                      =
 =                  Cosine (Y) and Cosine (Z) are transverse motion. =
 =====================================================================
 ==================  CALCULATION   DATA  =============================
  Calculation Date= 05-25-2023, Time= 16:34:17
  Ion Data: Name,   Mass,   Energy (keV)
           He    4,003 60,
==============================================================================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(60 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
S   21 13 ,1681999E+03   0000000E+00  ,1583E+02  ,1658E+02  -,9944308  ,0629194  ,0845488
S   21 13 ,1675480E+03   0000000E+00 -,6187E+02  ,1463E+03  -,9270782  ,1363962  ,3491732
S   21 13 ,5967287E+01   0000000E+00 -,6004E+02  ,1435E+03  -,9839429 -,0484285  ,1717882
S   21 13 ,7349927E+01   0000000E+00 -,6638E+02  ,1409E+03  -,9723963  ,1622800  ,1676622
S   21 13 ,1516795E+02   0000000E+00 -,6624E+02  ,1331E+03  -,5960519 -,7826904 -,1792145
S   21 13 ,4130471E+02   0000000E+00 -,6187E+02  ,1383E+03  -,8033125  ,3587595  ,4753742
S   21 13 ,3467023E+02   0000000E+00 -,6447E+02  ,1387E+03  -,4197138 -,6586590  ,6245067
S   21 13 ,1130977E+03   0000000E+00 -,6281E+02  ,1386E+03  -,9334736 -,3540725  ,0570942
S   21 13 ,1025832E+03   0000000E+00 -,7025E+02  ,1386E+03  -,7111616  ,7029580 -,0099653
S   21 13 ,1075301E+03   0000000E+00 -,7359E+02  ,1377E+03  -,7045912 -,6068430 -,3678217
S   21 13 ,3334875E+02   0000000E+00 -,7632E+02  ,1373E+03  -,7580861 -,5327746  ,3761074
S   21 13 ,7110323E+01   0000000E+00 -,7355E+02  ,1392E+03  -,9275830  ,2494422  ,2781518
S   21 13 ,2517096E+02   0000000E+00 -,7380E+02  ,1643E+03  -,7261161  ,2264454  ,6492133
S   21 13 ,3201404E+02   0000000E+00 -,7603E+02  ,1643E+03  -,3676166 -,6476566  ,6673821
S   21 13 ,9786964E+01   0000000E+00 -,7193E+02  ,1610E+03  -,7331858  ,6787440  ,0417744
S   21 13 ,4739672E+02   0000000E+00 -,6914E+02  ,1535E+03  -,4724394  ,8259462 -,3075939
S   21 13 ,1640047E+03   0000000E+00 -,6975E+02  ,1587E+03  -,9714127 -,0910152  ,2192571
S   21 13 ,1619808E+02   0000000E+00 -,7341E+02  ,1545E+03  -,9692751 -,2456291  ,0131206
S   21 13 ,7554763E+01   0000000E+00 -,6769E+02  ,1478E+03  -,6982757  ,0707963 -,7123194
S   21 13 ,3466407E+01   0000000E+00 -,7508E+02  ,1496E+03  -,9887965  ,1450180  ,0353733
S   21 13 ,5237083E+01   0000000E+00 -,7193E+02  ,1506E+03  -,8147076 -,1740113  ,5531470
S   21 13 ,4962712E+01   0000000E+00 -,6323E+02  ,1423E+03  -,9967966 -,0777831  ,0186104
S   21 13 ,6944648E+01   0000000E+00 -,3543E+02  ,7830E+02  -,9999340 -,0112284 -,0024238
S   21 13 ,5070422E+01   0000000E+00 -,3925E+02  ,7804E+02  -,9251501 -,3540439 -,1369314
S   21 13 ,3957994E+01   0000000E+00 -,2633E+02  ,7399E+02  -,9981688 -,0528139 -,0294911
S   21 13 ,7067358E+01   0000000E+00 -,3391E+02  ,6902E+02  -,9035639  ,3384366  ,2627411
S   21 13 ,4826131E+01   0000000E+00 -,3202E+02  ,6788E+02  -,9999998 -,0004941 -,0004353
