============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(90 keV) ==> Aluminum+Polypropylene (( 5750 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,1951043E+05   5750680E-03  ,5417E+03 -,2372E+03   ,9009125  ,3730446 -,2217980
T    2  2 ,2044748E+05   5751924E-03 -,3124E+03 -,2448E+03   ,9737456 -,2230918 -,0452730
T    3  2 ,1938198E+05   5751297E-03 -,8497E+02  ,5926E+03   ,9812507 -,1878999 -,0429040
T    4  2 ,2030617E+05   5752739E-03  ,6329E+03  ,1315E+03   ,9305718  ,3185299 -,1804848
T    6  2 ,1828497E+05   5755475E-03  ,4424E+03  ,3717E+03   ,9112467  ,4097516 -,0416296
T    7  2 ,1917834E+05   5754180E-03  ,2237E+03 -,6287E+03   ,9180742 -,1489322 -,3673676
T    8  2 ,1940733E+05   5753360E-03  ,5684E+03 -,4537E+02   ,7951440  ,6030143  ,0641850
T    9  2 ,1796837E+05   5752518E-03  ,9137E+02  ,3989E+03   ,8488064  ,2849670  ,4453330
T   10  2 ,1797811E+05   5751567E-03 -,6986E+03 -,4158E+02   ,8625133 -,4656452  ,1981044
T   11  2 ,1298288E+05   5750407E-03  ,1971E+04  ,8545E+03   ,7167782  ,6971780  ,0131092
T   12  2 ,2016291E+05   5752515E-03  ,4233E+03 -,2021E+03   ,9696055 -,1885423  ,1559388
T   13  2 ,1888013E+05   5753946E-03 -,3412E+03  ,5485E+03   ,8628982 -,2618849  ,4322301
T   14  2 ,1846181E+05   5752791E-03  ,3723E+03 -,4993E+02   ,9709929 -,2034046  ,1256951
T   15  2 ,2039909E+05   5752270E-03  ,1134E+03 -,1823E+03   ,9908401 -,1048274 -,0851294
T   16  2 ,2057412E+05   5751382E-03 -,3078E+03 -,2054E+03   ,9927238  ,1198313  ,0118284
T   17  2 ,1872354E+05   5752378E-03 -,4985E+03  ,3310E+03   ,8920561 -,1751952 -,4165844
T   18  2 ,1822213E+05   5750713E-03  ,5872E+03 -,9955E+03   ,9413040  ,2445068 -,2327299
