Initial energy [keV],Mean final energy [eV],Mean final energy [keV],Error on mean final energy [eV],Error on mean final energy [keV],Relative error on mean final energy [keV],Mean energy loss [keV],Error on mean energy loss [keV],Number of ions transmitted []
1,0,0.0,0.001,0.00,0.0000,1.00,0.0,0.00
10,0,0.0,0.001,0.00,0.0000,10.0,0.0,0.00
20,0,0.0,0.001,0.0,0.0000,20.0,0.0,0.00
30,0,0.0,0.001,0.0,0.0000,30.0,0.0,0.00
40,359,0.4,249,0.2,0.6943,39.6,27.5,4.20
50,2632,2.6,883,0.9,0.3355,47.4,15.9,72.68
60,7239,7.2,1296,1.3,0.1790,52.8,9.4,94.62
70,13522,13.5,1483,1.5,0.1097,56.5,6.2,98.46
80,21122,21.1,1611,1.6,0.0763,58.9,4.5,99.39
90,29877,29.9,1704,1.7,0.0570,60.1,3.4,99.73
100,39553,39.6,1821,1.8,0.0460,60.4,2.8,99.75
120,60666,60.7,1930,1.9,0.0318,59.3,1.9,99.9
140,83081,83.1,1597,1.6,0.0192,56.9,1.1,100.0
160,105977,106.0,1397,1.4,0.0132,54.0,0.7,100.0
180,128775,128.8,1222,1.2,0.0095,51.2,0.5,100.0
200,147817,147.8,1096,1.1,0.0074,52.2,0.4,100.0
210,158887,158.9,1484,1.5,0.0093,51.1,0.5,100.0
220,170164,170.2,1369,1.4,0.0080,49.8,0.4,100.0
225,175763,175.8,1225,1.2,0.0070,49.2,0.3,100.0
250,203531,203.5,955,1.0,0.0047,46.5,0.2,100.0
