============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(180 keV) ==> Aluminum+Polypropylene (( 5750 A) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,1293536E+06   5754228E-03  ,1068E+03 -,1425E+02   ,9993165  ,0346464  ,0128887
T    2  1 ,1290869E+06   5753213E-03 -,1856E+02 -,6395E+02   ,9995712 -,0158208 -,0246406
T    3  1 ,1291831E+06   5753792E-03 -,1734E+03  ,1175E+03   ,9995121 -,0271357  ,0154689
T    4  1 ,1291327E+06   5754354E-03 -,1479E+02  ,9742E+02   ,9996604  ,0187521  ,0180938
T    5  1 ,1291934E+06   5753151E-03  ,6101E+02 -,1255E+03   ,9983634  ,0395913 -,0412690
T    6  1 ,1290442E+06   5755080E-03  ,2015E+03 -,1559E+03   ,9991341  ,0078131  ,0408663
T    7  1 ,1296454E+06   5754059E-03 -,1430E+03 -,1223E+03   ,9997844 -,0126083 -,0164998
T    8  1 ,1291060E+06   5755398E-03 -,2277E+02 -,9410E+02   ,9998871  ,0017234 -,0149257
T    9  1 ,1297188E+06   5752351E-03  ,1172E+03  ,5541E+01   ,9952833  ,0923669 -,0296570
T   10  1 ,1286220E+06   5753329E-03  ,3192E+02  ,5028E+02   ,9999362  ,0097452  ,0057147
T   11  1 ,1270662E+06   5753180E-03  ,5777E+00  ,4660E+02   ,9998702 -,0125883 -,0100525
T   12  1 ,1285716E+06   5753691E-03 -,1846E+03  ,2648E+02   ,9965005 -,0380413  ,0744281
T   13  1 ,1297496E+06   5755412E-03 -,8128E+02  ,1820E+03   ,9836709 -,0627326  ,1686898
T   14  1 ,1286048E+06   5753675E-03  ,9797E+02 -,3678E+02   ,9992381  ,0132507 -,0367115
T   15  1 ,1273460E+06   5753556E-03 -,1233E+00  ,3339E+02   ,9999184  ,0120070 -,0043631
T   16  1 ,1294295E+06   5753344E-03 -,5145E+02  ,1763E+02   ,9996501 -,0212542  ,0157432
T   17  1 ,1289720E+06   5753170E-03 -,8555E+01  ,1264E+02   ,9999094 -,0014932 -,0133792
T   18  1 ,1288797E+06   5755437E-03  ,4956E+02 -,8737E+01   ,9998907 -,0103278  ,0105834
T   19  1 ,1298566E+06   5753426E-03  ,7321E+02  ,1349E+03   ,9994747 -,0142394  ,0291140
T   20  1 ,1294002E+06   5753004E-03  ,6203E+01 -,1138E+03   ,9985072  ,0157623 -,0522955
T   21  1 ,1296004E+06   5753265E-03 -,2406E+03  ,3371E+03   ,9973108 -,0180520  ,0710307
T   22  1 ,1281212E+06   5753331E-03  ,9109E+02 -,7553E+02   ,9979069  ,0646394 -,0018829
