============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(220 keV) ==> Aluminum+Polypropylene (( 5750 A) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,1708950E+06   5751016E-03  ,9393E+02 -,4173E+01   ,9977021  ,0616951  ,0280055
T    2  1 ,1704714E+06   5752315E-03  ,2050E+01  ,6915E+02   ,9996221 -,0026625  ,0273612
T    3  1 ,1705379E+06   5750582E-03 -,1039E+03  ,4441E+02   ,9993376 -,0284454 -,0226976
T    4  1 ,1708483E+06   5750102E-03  ,8313E+02 -,6016E+02   ,9917880  ,1274936  ,0100986
T    5  1 ,1713420E+06   5750338E-03  ,2527E+03 -,6670E+02   ,9714419  ,1883411 -,1443200
T    6  1 ,1697739E+06   5750951E-03 -,1572E+03 -,9719E+01   ,9998453 -,0052853 -,0167768
T    7  1 ,1712437E+06   5750330E-03  ,4841E+02 -,1772E+03   ,9999392  ,0062041 -,0091193
T    8  1 ,1694946E+06   5750167E-03  ,1280E+03  ,1546E+02   ,9972931  ,0705565 -,0206940
T    9  1 ,1715037E+06   5750698E-03  ,1680E+01  ,2794E+02   ,9903586 -,1150959  ,0770899
T   10  1 ,1707523E+06   5752430E-03 -,2030E+02  ,1903E+01   ,9996203  ,0068891 -,0266778
T   11  1 ,1675036E+06   5752661E-03 -,4618E+01 -,4919E+01   ,9997275 -,0206018 -,0109768
T   12  1 ,1692608E+06   5750976E-03 -,3706E+02 -,2318E+02   ,9989203 -,0318738 -,0337993
T   13  1 ,1709342E+06   5750120E-03  ,9116E+02  ,9246E+02   ,9999202 -,0097439  ,0080425
T   14  1 ,1717080E+06   5750353E-03 -,3809E+01 -,1890E+03   ,9988976 -,0040686 -,0467651
T   15  1 ,1696890E+06   5752405E-03  ,5073E+02  ,3748E+02   ,9994320  ,0050130  ,0333264
T   16  1 ,1707807E+06   5752946E-03 -,1810E+03 -,1659E+03   ,9983344 -,0195313 -,0542865
T   17  1 ,1687781E+06   5752237E-03  ,4159E+02 -,5926E+02   ,9998973  ,0079220 -,0119457
T   18  1 ,1710413E+06   5752757E-03  ,6926E+01  ,3030E+02   ,9999727 -,0037957  ,0063334
T   19  1 ,1700951E+06   5751592E-03  ,1003E+03 -,1348E+03   ,9927883  ,0798016 -,0894606
T   20  1 ,1701090E+06   5750146E-03 -,4841E+02  ,1817E+03   ,9986834 -,0200563  ,0472146
T   21  1 ,1703846E+06   5750694E-03  ,5863E+02  ,8232E+02   ,9988712  ,0187350  ,0436508
T   22  1 ,1693420E+06   5751082E-03 -,2007E+02 -,7205E+02   ,9983408 -,0294379 -,0494881
T   23  1 ,1717767E+06   5751303E-03  ,5908E+02 -,7023E+02   ,9992835  ,0367121 -,0091990
T   24  1 ,1706688E+06   5751327E-03  ,4760E+01  ,2413E+02   ,9993782 -,0343787 -,0078258
T   25  1 ,1710891E+06   5750049E-03  ,1041E+02 -,4211E+02   ,9961456 -,0610980 -,0629365
T   26  1 ,1723591E+06   5751988E-03  ,1362E+03 -,1438E+03   ,9966555  ,0816728  ,0027092
T   27  1 ,1711795E+06   5752245E-03  ,5162E+01  ,1302E+03   ,9873862 -,1299225 -,0904907
T   28  1 ,1690337E+06   5751871E-03  ,1889E+03  ,2941E+03   ,9978451  ,0638983  ,0149063
T   29  1 ,1705824E+06   5752132E-03  ,2132E+03 -,6157E+02   ,9990308  ,0428259 -,0101705
T   30  1 ,1705524E+06   5750556E-03  ,1926E+01  ,2469E+03   ,9976892  ,0198550  ,0649771
T   31  1 ,1699417E+06   5752039E-03  ,3832E+02  ,1390E+02   ,9986932  ,0341698  ,0380037
T   32  1 ,1697281E+06   5751192E-03 -,1301E+03  ,1250E+03   ,9994335 -,0206621  ,0265667
T   33  1 ,1688283E+06   5750888E-03 -,7341E+02  ,4009E+02   ,9986197  ,0032830  ,0524213
T   34  1 ,1685797E+06   5752145E-03 -,5199E+02  ,4353E+02   ,9994388 -,0328780 -,0064049
T   35  1 ,1711886E+06   5751965E-03 -,2920E+03 -,1125E+03   ,9967829 -,0762745 -,0246199
T   36  1 ,1690890E+06   5751151E-03  ,2187E+02 -,1077E+03   ,9993261 -,0139357 -,0339582
T   37  1 ,1694676E+06   5752749E-03 -,1458E+03  ,2990E+02   ,9994254 -,0326930 -,0089483
T   38  1 ,1692326E+06   5752714E-03 -,1227E+03 -,5958E+02   ,9995619  ,0060025  ,0289808
T   39  1 ,1711122E+06   5752472E-03  ,1261E+03  ,4875E+02   ,9994665  ,0326418  ,0010634
T   40  1 ,1707816E+06   5752334E-03  ,1720E+03  ,1272E+03   ,9999664  ,0021270  ,0079133
T   41  1 ,1701667E+06   5752608E-03  ,3804E+02  ,8536E+01   ,9994742  ,0302964  ,0115543
T   42  1 ,1701287E+06   5751488E-03  ,2160E+03  ,6549E+02   ,9568398  ,1881610 -,2214790
T   43  1 ,1709231E+06   5750467E-03 -,1314E+02 -,4901E+02   ,9956497 -,0457028  ,0811973
T   44  1 ,1692120E+06   5752761E-03  ,9655E+02 -,1006E+03   ,9966715  ,0800846  ,0152471
T   45  1 ,1695953E+06   5752572E-03  ,6828E+01 -,3553E+02   ,9995583 -,0048165 -,0293256
T   46  1 ,1682441E+06   5750574E-03 -,7647E+02 -,1282E+03   ,7944577 -,3667130 -,4841060
T   47  1 ,1691992E+06   5751606E-03 -,1435E+03  ,8181E+02   ,9949135 -,0672017  ,0750409
T   48  1 ,1709611E+06   5752342E-03 -,4890E+02 -,2659E+02   ,9996471 -,0258353 -,0061794
T   49  1 ,1706890E+06   5752235E-03 -,6719E+02  ,1791E+02   ,9998553 -,0074692 -,0152819
T   50  1 ,1711685E+06   5750427E-03  ,5513E+02 -,2836E+03   ,9967791  ,0175502 -,0782524
T   51  1 ,1697174E+06   5752444E-03 -,4551E+02 -,1087E+02   ,9989194 -,0460601 -,0062115
T   52  1 ,1726565E+06   5751535E-03 -,2162E+03  ,2258E+03   ,9958381 -,0330313  ,0849438
T   53  1 ,1710436E+06   5752813E-03  ,4697E+02  ,1870E+03   ,9981559 -,0169955  ,0582753
T   54  1 ,1694043E+06   5750988E-03 -,1576E+03 -,4788E+02   ,9977301 -,0537102 -,0406190
T   55  1 ,1708051E+06   5752614E-03 -,1900E+03 -,1947E+03   ,9838708 -,1295907 -,1233066
T   56  1 ,1699963E+06   5751370E-03 -,2324E+02  ,8840E+02   ,9992594  ,0156181  ,0351664
T   57  1 ,1694738E+06   5752709E-03 -,9933E+02 -,1367E+03   ,9935520 -,0499434 -,1017845
T   58  1 ,1706697E+06   5751990E-03  ,1552E+03  ,4935E+01   ,9987755  ,0339955 -,0359422
T   59  1 ,1695719E+06   5750888E-03 -,2619E+02 -,1864E+02   ,9986562 -,0343254 -,0388272
T   60  1 ,1700413E+06   5750411E-03 -,1045E+03  ,4057E+03   ,9974147 -,0302087  ,0652019
T   61  1 ,1706112E+06   5752230E-03  ,3322E+02 -,1772E+02   ,9989373 -,0018167 -,0460540
T   62  1 ,1698940E+06   5752988E-03 -,4028E+02  ,1959E+03   ,9974012  ,0630559  ,0348548
T   63  1 ,1705318E+06   5752523E-03  ,1028E+03  ,1019E+03   ,9958091  ,0531727  ,0744108
T   64  1 ,1702950E+06   5751594E-03 -,5200E+01 -,5942E+02   ,9974338 -,0572351 -,0430112
T   65  1 ,1696274E+06   5750214E-03 -,3499E+03 -,7509E+02   ,9983966 -,0562222 -,0065732
T   66  1 ,1720224E+06   5752696E-03  ,1208E+03 -,2220E+03   ,9957062  ,0113338 -,0918733
T   67  1 ,1711960E+06   5751780E-03  ,1457E+03  ,2125E+02   ,9973246  ,0638305 -,0356287
T   68  1 ,1700710E+06   5752661E-03 -,1314E+02  ,1269E+02   ,9988791  ,0189707 -,0433673
T   69  1 ,1698476E+06   5752862E-03 -,2356E+03 -,3184E+03   ,9936862 -,0825610 -,0759692
T   70  1 ,1706846E+06   5751443E-03  ,4797E+01  ,9827E+02   ,9999266  ,0039212  ,0114666
T   71  1 ,1700294E+06   5750276E-03 -,6711E+02  ,1894E+03   ,9955054 -,0278584  ,0905144
T   72  1 ,1701322E+06   5752293E-03  ,3893E+02 -,3524E+02   ,9993752  ,0270364 -,0227642
T   73  1 ,1704806E+06   5751490E-03 -,8497E+02  ,3560E+02   ,9992540 -,0329775  ,0200962
T   74  1 ,1704834E+06   5750355E-03 -,9687E+02  ,1001E+02   ,9971001 -,0359938 -,0670513
T   75  1 ,1695893E+06   5750166E-03  ,1082E+03  ,9375E+02   ,9976144  ,0650498 -,0231090
T   76  1 ,1674342E+06   5750331E-03  ,2345E+03 -,2915E+03   ,9606887  ,1265451 -,2471106
