============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
 =====================================================================
                       SPUTTERING   CALCULATION                       
 =====================================================================
    >> Review plot of SPUTTERING YIELD vs. Surface Binding Energy <<  
    >> for how yield changes with SBE (last plot of Menu of Plots)<<  
 =====================================================================
 =   AXIS DEFINITIONS: X=Depth, Y,Z= Lateral plane of target surface.=
 =   (If beam enters target at an angle, this tilt is in Y direction)=
 =   Shown are: Ion Number                                           =
 =              Sputtered atom type (atomic name) and energy (eV)    =
 =                 (Note: SBE is NOT subtracted from atom energy)    =
 =              Point of ejection relative to ion entrance point.    =
 =              Trajectional cosines of ejected atom.                =
 =                  Cosine (X) is negative indicating motion away    =
 =                     from the target surface.                      =
 =                  Cosine (Y) and Cosine (Z) are transverse motion. =
 =====================================================================
 ==================  CALCULATION   DATA  =============================
  Calculation Date= 05-26-2023, Time= 00:22:14
  Ion Data: Name,   Mass,   Energy (keV)
            H    1,008 40,
==============================================================================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(40 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
S 1933 13 ,1457376E+04   0000000E+00  ,1361E+02  ,4663E+02  -,6544745  ,7534946  ,0625224
S 1933 13 ,4703426E+03   0000000E+00  ,1287E+02  ,4842E+02  -,4476236  ,4649566  ,7638379
S 1933 13 ,8481836E+02   0000000E+00  ,7522E+01  ,4537E+02  -,7441313 -,6616217 -,0923320
S 1933 13 ,5717118E+02   0000000E+00  ,8129E+01  ,4292E+02  -,8193004  ,5651151 -,0969110
S 1933 13 ,2440796E+02   0000000E+00  ,1150E+02  ,5198E+02  -,9145621 -,3723455 -,1579079
S 1933 13 ,1041611E+02   0000000E+00  ,7052E+01  ,4875E+02  -,8673990 -,4887614  ,0934412
S 1933 13 ,1369368E+02   0000000E+00  ,1118E+02  ,5242E+02  -,9985224  ,0190752  ,0508835
S 1933 13 ,4498155E+01   0000000E+00  ,8231E+01  ,5321E+02  -,8893317  ,4562626  ,0302260
S 1933 13 ,6596567E+01   0000000E+00  ,6152E+01  ,4607E+02  -,8871245 -,0871636 -,4532248
S 1933 13 ,1355453E+02   0000000E+00  ,6929E+01  ,5075E+02  -,9716379  ,0395699 -,2331394
S 1933 13 ,4418194E+01   0000000E+00 -,3537E+02  ,7134E+02  -,9997280 -,0174342  ,0154929
S 1933 13 ,2381282E+02   0000000E+00 -,5303E+02  ,8007E+02  -,7543820 -,4987561  ,4267905
S 1933 13 ,6351537E+01   0000000E+00 -,5343E+02  ,7895E+02  -,9206750 -,3406813  ,1905094
S 1933 13 ,6406900E+02   0000000E+00 -,5274E+02  ,7574E+02  -,9795240 -,0471188 -,1957362
S 3080 13 ,3011464E+02   0000000E+00  ,7881E+01 -,7367E+00  -,5784436  ,8148285  ,0381782
S 3080 13 ,3333718E+02   0000000E+00  ,5445E+01 -,2846E+01  -,5982357 -,1405952 -,7888897
S 3726 13 ,6800382E+01   0000000E+00  ,1567E+01 -,3161E+01  -,8889529 -,4564973  ,0370559
S 3726 13 ,3416137E+01   0000000E+00 -,3308E+01 -,4904E+00  -,9947158  ,0380378  ,0953612
S 4685 13 ,1666867E+02   0000000E+00  ,8841E+00 -,5370E+01  -,9968709  ,0496278  ,0615260
S 4849 13 ,4346903E+01   0000000E+00  ,1658E+01 -,3363E+00  -,9835185 -,1674404  ,0682276
S 5284 13 ,2631237E+02   0000000E+00 -,3158E+01  ,2518E+01  -,9099133  ,3813817  ,1631128
S 5284 13 ,2639980E+02   0000000E+00 -,7820E+01  ,5658E+01  -,7000635  ,1724519 -,6929440
S 5284 13 ,1814515E+03   0000000E+00 -,5794E+01  ,5157E+01  -,4346647  ,2519437  ,8646334
S 5284 13 ,8924571E+02   0000000E+00  ,7946E+00  ,4834E+01  -,7504464  ,4969296  ,4357650
S 6263 13 ,2126723E+02   0000000E+00  ,4939E+01  ,3727E+01  -,9642192  ,1086679 -,2418113
S 6263 13 ,4907281E+01   0000000E+00 -,3470E+01  ,3567E+01  -,9975948 -,0394635 -,0569848
S 7847 13 ,1034523E+02   0000000E+00 -,6822E+01  ,1348E+02  -,9999809 -,0061530 -,0006640
S 7847 13 ,1415233E+02   0000000E+00 -,1631E+00  ,1524E+01  -,8757550  ,2059561 -,4366180
S 9521 13 ,1112493E+02   0000000E+00  ,2379E+00 -,2935E+01  -,8644892  ,3979440  ,3070814
S 9521 13 ,1100962E+02   0000000E+00 -,4500E+01 -,4047E+01  -,9863465  ,0382232 -,1601858
S 9521 13 ,1613856E+02   0000000E+00 -,5727E+01 -,6128E+01  -,6042587  ,7090061 -,3635681
