============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(250 keV) ==> Layer 1+Kapton Polyimide( 2000 A) =========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,2342091E+06   2001212E-03  ,1262E+02  ,2012E+01   ,9999045 -,0121820  ,0065297
T    2  1 ,2340194E+06   2001105E-03 -,1344E+02  ,1030E+02   ,9994620 -,0206757  ,0254619
T    3  1 ,2330553E+06   2000957E-03 -,1237E+00  ,3480E+02   ,9996949 -,0002937  ,0246997
T    4  1 ,2330460E+06   2001166E-03 -,1603E+02  ,1138E+02   ,9999453 -,0104453 -,0005777
T    5  1 ,2331755E+06   2001003E-03  ,2261E+02  ,8096E+01   ,9998402  ,0156958  ,0085550
T    6  1 ,2336900E+06   2001264E-03 -,8362E+01 -,2524E+01   ,9999590 -,0089369  ,0014811
T    7  1 ,2342346E+06   2001095E-03  ,1195E+02 -,2302E+02   ,9998226  ,0089439 -,0165749
T    8  1 ,2334825E+06   2001281E-03 -,1412E+01  ,3577E+01   ,9999871 -,0007464  ,0050275
T    9  1 ,2335934E+06   2001156E-03 -,6852E+01 -,3408E+01   ,9997501 -,0142804  ,0171995
T   10  1 ,2344270E+06   2001097E-03 -,2589E+02 -,4094E+01   ,9998544 -,0170430  ,0007908
T   11  1 ,2331993E+06   2001256E-03 -,5613E+01  ,6105E+01   ,9999745 -,0067882  ,0022266
T   12  1 ,2333361E+06   2001240E-03 -,1448E+01  ,6521E+01   ,9998592 -,0065388  ,0154569
T   13  1 ,2335959E+06   2000009E-03 -,1208E+02  ,6289E+02   ,9991109 -,0104531  ,0408427
T   14  1 ,2332539E+06   2001214E-03  ,1244E+02  ,8982E+01   ,9998380  ,0179964  ,0000695
T   15  1 ,2336959E+06   2001153E-03 -,1808E+02 -,8617E+00   ,9998474 -,0171965 -,0030657
T   16  1 ,2347689E+06   2000582E-03 -,3479E+01 -,5112E+02   ,9996930 -,0025270 -,0246498
T   17  1 ,2339664E+06   2000601E-03  ,6654E+01  ,4813E+02   ,9995577  ,0020944  ,0296663
T   18  1 ,2332697E+06   2001207E-03  ,7693E+01  ,4137E+01   ,9999297  ,0025688  ,0115782
T   19  1 ,2340641E+06   2000399E-03 -,5119E+02 -,1370E+01   ,9995087 -,0311778 -,0032033
T   20  1 ,2327936E+06   2001018E-03  ,2649E+02 -,7845E+01   ,9999345  ,0036337 -,0108505
T   21  1 ,2334841E+06   2000739E-03  ,3912E+02 -,8399E+01   ,9996085  ,0255948 -,0113019
T   22  1 ,2337089E+06   2001246E-03  ,2621E+01  ,8886E+01   ,9999764  ,0040297 -,0055700
T   23  1 ,2336163E+06   2001227E-03  ,6305E+01  ,5490E+01   ,9999644 -,0070128  ,0046901
T   24  1 ,2332012E+06   2000974E-03 -,2444E+02  ,9395E+01   ,9997034 -,0206077  ,0129784
T   25  1 ,2333769E+06   2001198E-03 -,9002E+01 -,1099E+02   ,9998779 -,0054319 -,0146516
T   26  1 ,2337023E+06   2001244E-03  ,4374E+00 -,1132E+02   ,9999895 -,0030138 -,0034574
T   27  1 ,2332835E+06   2000772E-03 -,3006E+02 -,2938E+02   ,9994140 -,0205194 -,0273973
T   28  1 ,2327120E+06   2001238E-03  ,8268E+01  ,9896E+01   ,9999586  ,0051550  ,0075004
T   29  1 ,2340796E+06   2001190E-03 -,1237E+02  ,1089E+02   ,9998055 -,0185604  ,0066668
T   30  1 ,2337353E+06   2001179E-03 -,1694E+02  ,2719E+01   ,9998564 -,0155060 -,0068346
T   31  1 ,2330627E+06   2001127E-03  ,6639E+01  ,9221E+01   ,9994147 -,0228384  ,0254694
T   32  1 ,2336451E+06   2001108E-03 -,5505E+01 -,2551E+02   ,9999089  ,0000160 -,0135015
T   33  1 ,2331200E+06   2001156E-03  ,1412E+02 -,1118E+02   ,9999674  ,0051413 -,0062202
T   34  1 ,2330922E+06   2000846E-03 -,3296E+02 -,1776E+02   ,9992874 -,0339083 -,0165809
T   35  1 ,2331270E+06   2001189E-03  ,1209E+02  ,9295E+01   ,9998537  ,0044459  ,0165152
T   36  1 ,2330955E+06   2001129E-03  ,2142E+02 -,6565E+01   ,9999134  ,0131528  ,0003467
T   37  1 ,2345932E+06   2001264E-03 -,3716E+01 -,2559E+01   ,9999631 -,0039855  ,0076136
T   38  1 ,2336061E+06   2001289E-03  ,2979E-01 -,3530E+00   ,9999979 -,0020577  ,0000836
T   39  1 ,2327130E+06   2001097E-03  ,2075E+02  ,5073E+01   ,9997800  ,0152045  ,0144462
T   40  1 ,2339318E+06   2001266E-03  ,6310E+01 -,4135E+01   ,9999947  ,0026283 -,0019268
T   41  1 ,2337023E+06   2001215E-03  ,1137E+02  ,1005E+02   ,9999257  ,0115073 -,0040149
T   42  1 ,2347316E+06   2001075E-03 -,1192E+02  ,2492E+02   ,9998314 -,0070492  ,0169538
T   43  1 ,2333415E+06   2001182E-03  ,1281E+02 -,1000E+02   ,9999592  ,0053785  ,0072587
T   44  1 ,2335283E+06   2001093E-03  ,1143E+02  ,8387E+01   ,9995408  ,0074623  ,0293687
T   45  1 ,2340120E+06   2001231E-03 -,2968E+01 -,1387E+02   ,9999516  ,0035235 -,0091849
T   46  1 ,2331561E+06   2001264E-03  ,2626E+01 -,4975E+01   ,9999269 -,0017644 -,0119592
T   47  1 ,2325864E+06   2000482E-03 -,4593E+02  ,2877E+02   ,9996542 -,0252083  ,0074831
T   48  1 ,2338419E+06   2000760E-03  ,3726E+02  ,1875E+02   ,9998445  ,0151699  ,0089903
T   49  1 ,2328756E+06   2001208E-03  ,1503E+02  ,6354E+01   ,9999946  ,0019069  ,0026832
T   50  1 ,2327820E+06   2001210E-03  ,8123E+01 -,1282E+02   ,9998412  ,0093176 -,0151924
T   51  1 ,2327848E+06   2001107E-03  ,7291E+01  ,1925E+02   ,9998753  ,0106469  ,0116670
T   52  1 ,2335844E+06   2001268E-03 -,3665E+01  ,2488E+01   ,9999800 -,0038724  ,0050053
T   53  1 ,2331909E+06   2001223E-03  ,2700E+01 -,1345E+02   ,9999310  ,0057438 -,0102497
T   54  1 ,2339101E+06   2001282E-03 -,2553E+01 -,1308E+01   ,9999989 -,0005425 -,0013551
T   55  1 ,2336263E+06   2001248E-03 -,8782E+01  ,4372E+01   ,9999416 -,0102853  ,0033208
T   56  1 ,2332501E+06   2001180E-03  ,1577E+01 -,1801E+02   ,9999539 -,0077779 -,0056387
T   57  1 ,2338204E+06   2001268E-03 -,7196E+01 -,3081E+01   ,9999912 -,0035615 -,0022369
T   58  1 ,2329994E+06   2001151E-03 -,1141E+01  ,2198E+02   ,9999208  ,0019695  ,0124329
T   59  1 ,2333235E+06   2001119E-03  ,2005E+02 -,7299E+01   ,9997866  ,0206275 -,0010783
T   60  1 ,2333573E+06   2001128E-03 -,9996E+01 -,2257E+02   ,9998415 -,0084983 -,0156427
T   61  1 ,2331518E+06   2001211E-03  ,9398E+01 -,9923E+01   ,9999149 -,0002280 -,0130450
T   62  1 ,2335479E+06   2001250E-03 -,6821E+01 -,5771E+01   ,9999001 -,0013877 -,0140667
T   63  1 ,2337236E+06   2001282E-03  ,1310E+01 -,1385E+01   ,9999905  ,0005592  ,0043213
T   64  1 ,2335167E+06   2000824E-03  ,1174E+02 -,3610E+02   ,9996832  ,0134052 -,0213046
T   65  1 ,2328750E+06   2001248E-03 -,8289E+01  ,7623E+01   ,9999439 -,0097562  ,0041238
T   66  1 ,2340755E+06   2001050E-03  ,2504E+02 -,1544E+02   ,9999484  ,0101612 -,0001800
T   67  1 ,2335751E+06   2001268E-03 -,4238E+01 -,4550E+01   ,9999965  ,0003622 -,0026379
T   68  1 ,2324615E+06   2000689E-03 -,9984E+01  ,4357E+02   ,9997009 -,0149191  ,0193809
T   69  1 ,2334274E+06   2000912E-03 -,1078E+01 -,3648E+02   ,9997269  ,0019021 -,0232925
T   70  1 ,2338201E+06   2001248E-03 -,1049E+02 -,4713E+01   ,9999184 -,0098391 -,0081489
T   71  1 ,2344473E+06   2001210E-03 -,5461E+01  ,1111E+02   ,9999667 -,0049039  ,0065278
T   72  1 ,2335319E+06   2001127E-03 -,2280E+02 -,4071E+01   ,9999050 -,0137559  ,0009213
T   73  1 ,2340039E+06   2001019E-03 -,2453E+02  ,1922E+02   ,9999232 -,0084467  ,0090738
T   74  1 ,2335387E+06   2001161E-03  ,1546E+02  ,9399E+01   ,9996380  ,0258451  ,0074709
T   75  1 ,2335809E+06   2000917E-03  ,2410E+02  ,2458E+02   ,9996898  ,0177821  ,0174372
T   76  1 ,2335191E+06   2000272E-03 -,1409E+03  ,1398E+02   ,9969257 -,0782970 -,0029582
T   77  1 ,2334557E+06   2001259E-03 -,7861E+01 -,5952E+01   ,9999444 -,0070984 -,0077963
T   78  1 ,2342753E+06   2000692E-03  ,4800E+02 -,1078E+01   ,9996978  ,0245731 -,0006330
T   79  1 ,2343795E+06   2001016E-03  ,1002E+02  ,2467E+02   ,9995220  ,0077270  ,0299331
T   80  1 ,2328215E+06   2000812E-03  ,3854E+02 -,7367E+01   ,9999555  ,0062446 -,0070775
T   81  1 ,2340190E+06   2000105E-03 -,1165E+03  ,1210E+03   ,9958718 -,0634438  ,0649168
T   82  1 ,2336719E+06   2001033E-03  ,1496E+02  ,2436E+02   ,9998124  ,0158474  ,0111397
T   83  1 ,2341632E+06   2001276E-03 -,5146E+01 -,1394E+01   ,9999731 -,0068385 -,0026406
T   84  1 ,2333733E+06   2001042E-03 -,1551E+02 -,1689E+02   ,9996304 -,0121011 -,0243458
T   85  1 ,2328018E+06   2001161E-03  ,1472E+02 -,1441E+02   ,9999357  ,0034512 -,0108015
T   86  1 ,2326415E+06   2001234E-03 -,3041E+01  ,1018E+02   ,9999020 -,0052777  ,0129643
T   87  1 ,2339930E+06   2001053E-03  ,1706E+02 -,1285E+02   ,9995864  ,0271807 -,0093941
T   88  1 ,2351027E+06   2000998E-03 -,3070E+02  ,4147E+01   ,9997703 -,0195584  ,0087621
T   89  1 ,2340267E+06   2001011E-03  ,7551E+01 -,2794E+02   ,9995420  ,0160630 -,0256485
T   90  1 ,2327126E+06   2001256E-03  ,2689E-01  ,6669E+01   ,9999539 -,0095995  ,0002252
T   91  1 ,2337900E+06   2001222E-03  ,4613E+01 -,1028E+02   ,9999233  ,0011595 -,0123317
T   92  1 ,2345012E+06   2001226E-03 -,9543E+01  ,3660E+01   ,9999762 -,0030301  ,0062035
T   93  1 ,2328836E+06   2001053E-03 -,1835E+02 -,1910E+02   ,9997037 -,0168824 -,0175377
T   94  1 ,2335830E+06   2001194E-03 -,1475E+02  ,1418E+01   ,9999641 -,0065594  ,0053642
T   95  1 ,2327862E+06   2000677E-03  ,4815E+02 -,6581E+00   ,9994344  ,0334271  ,0036863
T   96  1 ,2338751E+06   2001265E-03  ,3335E+01  ,7302E+01   ,9999757 -,0007237  ,0069363
T   97  1 ,2333551E+06   2000965E-03  ,5782E+02 -,7335E+02   ,9982778  ,0367531 -,0457225
T   98  1 ,2343929E+06   2001244E-03  ,1457E+01 -,1168E+02   ,9999954  ,0023531 -,0019196
T   99  1 ,2338255E+06   2001124E-03  ,5246E+01 -,2367E+02   ,9999339 -,0026804 -,0111816
T  100  1 ,2334887E+06   2001081E-03 -,1833E+02  ,1626E+02   ,9999425 -,0036644  ,0100792
T  101  1 ,2324495E+06   2001464E-03  ,4653E+02  ,3681E+02   ,9828799  ,0952011  ,1577462
T  102  1 ,2318379E+06   2000507E-03 -,4865E+03  ,3919E+03   ,9407563 -,2648506  ,2117350
T  103  1 ,2335747E+06   2001081E-03  ,1047E+02  ,2249E+02   ,9997354  ,0039719  ,0226565
T  104  1 ,2338926E+06   2000962E-03  ,1591E+02 -,2753E+02   ,9998488 -,0028508 -,0171511
T  105  1 ,2332222E+06   2001265E-03  ,5357E+01 -,6620E+01   ,9999797  ,0059663 -,0022156
