T    1  1 ,7883218E+05   2000749E-03  ,3058E+02  ,4855E+01   ,9991412 -,0388264  ,0144690
T    2  1 ,7843918E+05   2002027E-03 -,3535E+02  ,3044E+02   ,9955518 -,0562519  ,0755802
T    3  1 ,7722365E+05   2001279E-03  ,1516E+02  ,8861E+02   ,9978611  ,0103591  ,0645443
T    4  1 ,7727383E+05   2000483E-03 -,4399E+02 -,2113E+02   ,9996092 -,0086861 -,0265699
T    5  1 ,7747425E+05   2001400E-03 -,1108E+02  ,6429E+02   ,9988680 -,0156951  ,0449034
T    6  1 ,7817419E+05   2001077E-03  ,5151E+01 -,2240E+02   ,9996911 -,0063833 -,0240191
T    7  1 ,7873546E+05   2002174E-03  ,4526E+02 -,5103E+02   ,9987543  ,0337711 -,0367339
T    8  1 ,7783570E+05   2001201E-03 -,3962E+01  ,1031E+02   ,9998910 -,0018409  ,0146499
T    9  1 ,7795162E+05   2000204E-03 -,3146E+01 -,1936E+02   ,9980129 -,0622631 -,0096776
T   10  1 ,7905872E+05   2000029E-03 -,6634E+02 -,5113E+01   ,9990170 -,0438175  ,0067148
T   11  1 ,7752225E+05   2001026E-03  ,2328E+01  ,2145E+02   ,9998319 -,0075750  ,0166993
T   12  1 ,7773026E+05   2000850E-03  ,1957E+02 -,9762E+00   ,9988352  ,0477764  ,0067534
T   13  1 ,7786825E+05   2001549E-03  ,1345E+03  ,1011E+03   ,9942687  ,0912092  ,0557732
T   14  1 ,7744692E+05   2000720E-03 -,2145E+02  ,3405E+02   ,9987987  ,0042370  ,0488189
T   15  1 ,7823784E+05   2000222E-03  ,4002E+02  ,3019E+02   ,9988453  ,0356902  ,0321597
T   16  1 ,7905375E+05   2002102E-03 -,1095E+03 -,5178E+02   ,9983439 -,0550217 -,0167977
T   17  1 ,7844369E+05   2000542E-03  ,2812E+02 -,1318E+03   ,9966103  ,0241851 -,0786318
T   18  1 ,7773663E+05   2000648E-03 -,1542E+02  ,2120E+02   ,9994204 -,0333934  ,0066163
T   19  1 ,7860513E+05   2000771E-03  ,2632E+02  ,1467E+03   ,9965411  ,0087554  ,0826386
T   20  1 ,7680050E+05   2002090E-03 -,1293E+03  ,4284E+02   ,9981131 -,0513006  ,0337421
T   21  1 ,7796171E+05   2001870E-03  ,5022E+01 -,1077E+03   ,9971777 -,0136809 -,0738210
T   22  1 ,7819728E+05   2001169E-03  ,6264E+01  ,6850E+01   ,9997748  ,0130808 -,0167134
T   23  1 ,7767438E+05   2000830E-03 -,3179E+01 -,2007E+02   ,9996940  ,0244419  ,0038196
T   24  1 ,7772431E+05   2000918E-03 -,7681E+02  ,1189E+02   ,9977361 -,0649248  ,0175367
T   25  1 ,7807654E+05   2000535E-03  ,2786E+02  ,2873E+02   ,9989728  ,0220658  ,0395775
T   26  1 ,7825890E+05   2000914E-03 -,3149E+02  ,2605E+01   ,9997151  ,0070036  ,0228186
T   27  1 ,7740478E+05   2002113E-03  ,9933E+01  ,1119E+03   ,9962219 -,0075944  ,0865121
